CXC_g,CRE_g,CN_g,CNumerical_Error_g,CXC_r,CRE_r,CN_r,CNumerical_Error_r,CXC_W1-fixBA,CRE_W1-fixBA,CN_W1-fixBA,CNumerical_Error_W1-fixBA,CXC_W2,CRE_W2,CN_W2,CNumerical_Error_W2,CXC_W3-fixBA,CRE_W3-fixBA,CN_W3-fixBA,CNumerical_Error_W3-fixBA,Vcosmic,logmstar,logsfr,Size Ratio,NUV_r,W1_W3,cluster_member,rich_group_memb,poor_group_memb,filament_member,pure_field,CRE_g_unscaled,CRE_r_unscaled,CRE_W1-fixBA_unscaled,CRE_W2_unscaled,CRE_W3-fixBA_unscaled,CN_g_unscaled,CN_r_unscaled,CN_W1-fixBA_unscaled,CN_W2_unscaled,CN_W3-fixBA_unscaled
597.0486,0.42952376753804855,-0.668895552719259,False,598.0054,0.35499316472933373,-0.7294817597538189,False,56.9829,0.3964111821178455,-0.7327008341946256,False,57.1594,0.5671505797436451,-0.45029943195166827,False,57.9916,0.5928405828481872,-0.5152399176041678,False,1691.149493622289,8.872608384859427,-1.4041587239392428,1.0639139178947608,2.1179942654418937,-1.3521218418090832,False,False,False,False,True,3.4394999641174038,3.2497514656348776,2.681543998298526,3.023862929554238,2.852931981236967,0.7806,0.8464,0.7572,0.7066,0.4427
536.1022,0.47091833041139514,0.0719922806533599,False,535.6229,0.4563365200853527,0.3642577059727078,False,51.2931,0.5242440783039535,0.13485646677302435,False,51.2411,0.46030384638772975,0.09520287321503024,False,51.7289,0.6223447133853311,-0.4198663874537885,False,2043.0144885027585,9.327612363193095,-1.0405253885723778,1.018957284476047,2.593536625488282,0.11922736926757871,False,False,False,False,True,3.509182030646461,3.4148866243558107,2.836752042113422,2.885633636444748,2.8905291575637735,1.0913,1.2896,1.1296,0.8729,0.5167
1090.9995,1.3997079911910988,0.5546305087660673,False,1091.0609,1.1369895717492637,0.5481105719398248,False,103.9987,0.8728636710428858,0.3703828983729959,False,103.9519,0.6536059334349851,0.5865813778089652,False,103.6014,0.7336086945858535,-0.23414576995825281,False,2001.7537990623332,10.074977395942778,-0.467898470276666,0.9301494584757668,2.9534975306396483,0.8020064772875966,False,False,False,False,True,5.072671978154135,4.523984989271274,3.2600277922441263,3.1357115752819102,3.0323130855718228,1.2937,1.3641,1.2307,1.0227,0.6608
372.8179,-0.6791322204042269,-0.5747047917980537,False,374.0095,-0.7583484183676471,-0.3143938126978585,False,35.7966,-0.7630171365858265,-0.9064918509835265,False,36.0556,-0.7605928870347634,-0.48736603476816664,False,36.1781,-0.7655525872514486,-0.33493239236041034,False,1795.3441379316107,8.959742402092244,-2.3758585348738945,0.880754678652142,4.352890433715821,0.8550928729394531,False,False,False,False,True,1.5732297356818297,1.4356035287576765,1.2738265276123968,1.306140402351098,1.1219286739858303,0.8201,1.0146,0.6826,0.6953,0.5826
187.5478,-0.15941252931381109,0.42848642641842755,False,187.1614,-0.13126643742344588,0.6658257626328644,False,18.0741,-0.26088031919062665,0.08663295407154663,False,18.0189,-0.11215404717862054,-0.3226984718134566,False,18.2288,-0.24401073173684656,-0.3988584341909347,False,3169.556164076897,8.514801002405928,-0.8945264321467133,0.9485189339963012,1.2656716663818361,0.16347960079833967,False,False,False,False,True,2.4481065208729076,2.457409863178669,1.8834948953061268,2.1450358897730353,1.7865305702832421,1.2408,1.4118,1.1089,0.7455,0.533
556.3973,-0.448207098373248,-0.5012598440417723,False,557.4573,-0.45206102665880027,-0.5643843539390523,False,53.4996,-0.4547502783810744,0.030255707338417925,False,53.4368,-0.5579308849460999,0.1191485546805557,False,52.6304,-0.619210837597923,0.5854221735907488,False,1267.3570622856998,8.762333752013541,-2.295504894378642,0.793887418778315,3.2215011252441403,-0.652745828549806,False,False,True,False,False,1.9619604915984317,1.9346872315458639,1.6481080894199822,1.5683274099365667,1.30841227697729,0.8509,0.9133,1.0847,0.8802,1.2967
290.7944,-0.7282679180261034,-0.883745870668641,False,289.7106,-0.6811202080747473,-0.9710817004005404,False,27.5653,-0.5565730402044012,-0.30614406242454834,False,27.6342,-0.46168053079484694,-0.44111478700598716,False,28.085,-0.66635068473889,-0.3915120947063786,False,2623.5496944892234,9.366318168469583,-0.8350428184708704,0.8188639464219273,2.450000353881837,0.6900388561230457,False,False,True,False,False,1.490516531024611,1.5614439720669593,1.5244801958970156,1.6928480012357594,1.2483418694543031,0.6905,0.7485,0.9403,0.7094,0.5387
483.8517,-0.11414677760720272,-0.17314215536435867,False,483.5678,-0.19082569731843557,0.06046860797871995,False,46.0341,-0.34958328383433745,0.5998522704065983,False,45.9014,-0.20306980377858272,1.6349429937517006,False,46.8422,-0.06923682900696995,0.14361073932655977,False,1928.4635893063016,9.130963106102678,-0.6543643458857205,1.131461553512033,1.8451443239135727,0.9262037496289057,False,True,False,False,False,2.5243052026069916,2.3603603052524593,1.7757963761167574,2.0274167509130314,2.009245326442105,0.9885,1.1665,1.3292,1.3423,0.9539
486.3516,-0.024976744873332332,1.6143361835352719,False,486.7026,-0.05071165619012752,1.0944867400622365,False,46.8569,-0.18460672137822834,0.8754484806763971,False,47.0256,0.3263492478408711,0.03911093443962106,False,47.391,0.17839568455239982,-0.4950052632344252,False,3005.7975407389818,9.585608924287845,-0.7541407187023018,1.176459303918882,2.2217340765991214,-0.3457572819799797,False,False,True,False,False,2.674410717004405,2.588670827826649,1.9761023247267313,2.7123344733882795,2.3248039654204944,1.7381,1.5855,1.4475,0.8558,0.4584
437.6507,-0.9964930332764632,-0.008129480535310495,False,438.2889,-0.9559929190620854,-0.1638565667382058,False,42.0616,-0.966351871476092,0.23060460068755317,False,42.0504,-0.8780708052415379,-0.07077678187477693,False,41.8234,-0.9698576907373518,-0.9384921784336884,False,1733.0934434162546,9.15783920558193,-1.0666942726163202,0.8389735169813616,2.3203806523437507,0.2924000501782231,False,False,False,False,True,1.038996354743823,1.11354930154329,1.0269480840856813,1.1541573788214612,0.8615822458626349,1.0577,1.0756,1.1707,0.8223,0.1143
