CXC_g,CRE_g,CN_g,CNumerical_Error_g,CXC_r,CRE_r,CN_r,CNumerical_Error_r,CXC_W1-fixBA,CRE_W1-fixBA,CN_W1-fixBA,CNumerical_Error_W1-fixBA,CXC_W2,CRE_W2,CN_W2,CNumerical_Error_W2,CXC_W3-fixBA,CRE_W3-fixBA,CN_W3-fixBA,CNumerical_Error_W3-fixBA,Vcosmic,logmstar,logsfr,Size Ratio,cluster_member,rich_group_memb,poor_group_memb,filament_member,pure_field,CRE_g_unscaled,CRE_r_unscaled,CRE_W1-fixBA_unscaled,CRE_W2_unscaled,CRE_W3-fixBA_unscaled,CN_g_unscaled,CN_r_unscaled,CN_W1-fixBA_unscaled,CN_W2_unscaled,CN_W3-fixBA_unscaled
536.1022,0.5237100437699677,0.09651312755544754,False,535.6229,0.5096796051077966,0.4070601582434291,False,51.2931,0.5709974667030775,0.1808415736618257,False,51.2411,0.4906577958542354,0.15344298656882593,False,51.7289,0.6479416186737647,-0.39519202578595547,False,2043.0144885027585,9.327612363193095,-1.0405253885723778,1.018957284476047,False,False,False,False,True,3.509182030646461,3.4148866243558107,2.836752042113422,2.885633636444748,2.8905291575637735,1.0913,1.2896,1.1296,0.8729,0.5167
1090.9995,1.4551301583255483,0.5925933541705846,False,1091.0609,1.1921692827023562,0.5952619975192067,False,103.9987,0.9178075027048263,0.4164392222615143,False,103.9519,0.6835473388655651,0.648899420911662,False,103.6014,0.757053523315708,-0.2120979045075337,False,2001.7537990623332,10.074977395942778,-0.467898470276666,0.9301494584757668,False,False,False,False,True,5.072671978154135,4.523984989271274,3.2600277922441263,3.1357115752819102,3.0323130855718228,1.2937,1.3641,1.2307,1.0227,0.6608
372.8179,-0.6295976005960958,-0.5681951602806444,False,374.0095,-0.7082829530518618,-0.2876446176067569,False,35.7966,-0.7095820462616378,-0.8608216204436226,False,36.0556,-0.7276333078332229,-0.4339606365238824,False,36.1781,-0.7131108646718496,-0.31145918336924494,False,1795.3441379316107,8.959742402092244,-2.3758585348738945,0.880754678652142,False,False,False,False,True,1.5732297356818297,1.4356035287576765,1.2738265276123968,1.306140402351098,1.1219286739858303,0.8201,1.0146,0.6826,0.6953,0.5826
187.5478,-0.10840599537748148,0.46293602221435526,False,187.1614,-0.07950889855560779,0.7157616986394022,False,18.0741,-0.2100516373409779,0.1326034794381507,False,18.0189,-0.08057836186116336,-0.2679265043208758,False,18.2288,-0.201656712198792,-0.37448117098485717,False,3169.556164076897,8.514801002405928,-0.8945264321467133,0.9485189339963012,False,False,False,False,True,2.4481065208729076,2.457409863178669,1.8834948953061268,2.1450358897730353,1.7865305702832421,1.2408,1.4118,1.1089,0.7455,0.533
556.3973,-0.398018468421764,-0.4927046910131238,False,557.4573,-0.4011690971635509,-0.543548595038116,False,53.4996,-0.4029152885151883,0.07620918570805708,False,53.4368,-0.5254038256492721,0.1775873922477491,False,52.6304,-0.5695996684963919,0.5958795536531073,False,1267.3570622856998,8.762333752013541,-2.295504894378642,0.793887418778315,False,False,True,False,False,1.9619604915984317,1.9346872315458639,1.6481080894199822,1.5683274099365667,1.30841227697729,0.8509,0.9133,1.0847,0.8802,1.2967
290.7944,-0.6788724569390451,-0.8858433686270958,False,289.7106,-0.6308463556324301,-0.9598662207112454,False,27.5653,-0.5042095256414135,-0.260292302499609,False,27.6342,-0.4293588883673731,-0.3873255515824005,False,28.085,-0.615827733055858,-0.36723872482741793,False,2623.5496944892234,9.366318168469583,-0.8350428184708704,0.8188639464219273,False,False,True,False,False,1.490516531024611,1.5614439720669593,1.5244801958970156,1.6928480012357594,1.2483418694543031,0.6905,0.7485,0.9403,0.7094,0.5387
483.8517,-0.0630120451426998,-0.15544856857121256,False,483.5678,-0.13922886893425135,0.09608503858103691,False,46.0341,-0.29829417735388086,0.6459779797992922,False,45.9014,-0.17130008665458937,1.7059613462519192,False,46.8422,-0.030263299858150117,0.16031630053552942,False,1928.4635893063016,9.130963106102678,-0.6543643458857205,1.131461553512033,False,True,False,False,False,2.5243052026069916,2.3603603052524593,1.7757963761167574,2.0274167509130314,2.009245326442105,0.9885,1.1665,1.3292,1.3423,0.9539
486.3516,0.026410528784515667,1.6818129821733845,False,486.7026,0.0012632459873866896,1.1545624970582284,False,46.8569,-0.13417394786438563,0.9216575231162377,False,47.0256,0.35698908232579263,0.09688554312915636,False,47.391,0.21257948640741822,-0.4692682733260804,False,3005.7975407389818,9.585608924287845,-0.7541407187023018,1.176459303918882,False,False,True,False,False,2.674410717004405,2.588670827826649,1.9761023247267313,2.7123344733882795,2.3248039654204944,1.7381,1.5855,1.4475,0.8558,0.4584
437.6507,-0.947857220791224,0.01415988835451611,False,438.2889,-0.9064607636523354,-0.13354646732726133,False,42.0616,-0.911861344948409,0.27661865929434043,False,42.0504,-0.8448605054438079,-0.013914126767272227,False,41.8234,-0.9134642829918437,-0.9064833124093902,False,1733.0934434162546,9.15783920558193,-1.0666942726163202,0.8389735169813616,False,False,False,False,True,1.038996354743823,1.11354930154329,1.0269480840856813,1.1541573788214612,0.8615822458626349,1.0577,1.0756,1.1707,0.8223,0.1143
355.6027,0.26637282758274666,-0.19392909998355282,False,355.9666,0.20813726911938343,-0.27526624160069874,False,34.0445,0.029342719525539875,-0.22929874437521874,False,34.0082,0.16661880411260563,-0.20045446653319993,False,33.9748,-0.26224994511060845,0.09754843383772212,False,3054.469309975978,9.211108347803926,-1.9767256943023501,0.7849500442645757,False,True,False,False,False,3.0772135297081875,2.9248570711231885,2.1756716360600246,2.4655227175606726,1.7077935470304975,0.9728,1.0195,0.9536,0.7659,0.9045
