VFID,RA,DEC,objname,group_flag,SNR_phot,WISE_AGN_flag,kauffman_AGN_flag,preGALFIT_sample_flag,Re_W1,Re_W1_err,Re_W3,Re_W3_err,size_ratio_px,bad_model_flag,virgowise_sample_flag,axis_ratio,t_type,logM200_model
b'VFID5497',142.9828845,7.5362441,b'PGC1324298',False,-0.98208237,False,False,False,1.5775,0.0868,1088.4097,1461096192.0,689.9586053882725,True,False,0.48,10.0,
b'VFID5498',120.32583299999999,7.5116673,b'AGC188992',False,-1.266267,False,False,False,1.3315,0.0862,254.2704,11152.1055,190.96537739391664,True,False,0.5,,
b'VFID5499',186.2623875,7.5037549,b'PGC040453',False,0.9393127,False,False,False,2.9181,0.0405,0.01,12.1963,0.0034268873582125356,True,False,0.83,-5.0,
b'VFID5500',231.04773749999998,7.4881794,b'PGC1323063',False,4.0580506,False,False,False,6.7541,0.0628,13.0844,27.7625,1.9372529278512312,True,False,0.2,9.1,
b'VFID5501',184.1035995,7.4878001,b'EVCC0248',True,-0.040569905,False,False,False,335.8006,188.2583,2.085,0.8023,0.006209041913564181,False,False,0.02,-5.0,
b'VFID5502',232.250415,7.4713891,b'AGC258413',False,0.76009095,True,False,False,7.1993,17.2206,2383.0603,7371.8994,331.0127790201825,True,False,0.18,,
b'VFID5503',184.140759,7.4620827,b'NGC4224',True,82.73979,False,True,True,9.156,0.0195,11.1225,0.2939,1.2147771952817825,False,False,0.49,1.0,13.329300435591167
b'VFID5504',184.0531005,7.4560119,b'SDSSJ121612.76+072721.6',False,3.293554,False,False,False,0.0281,5.0019,323.6134,2147.0854,11516.491103202847,True,False,0.82,10.0,
b'VFID5505',186.5035995,7.4552999,b'PGC040630',False,-1.1402496,False,False,False,40.6054,173.0132,189.1239,12099.0674,4.657604653568244,True,False,0.84,-5.0,
b'VFID5506',183.471606,7.4543646,b'PGC039041',False,0.3874564,False,False,False,2.3731,0.0784,229.0468,18846357504.0,96.51797227255489,True,False,0.97,-4.0,
b'VFID5507',185.99248799999998,7.4504642,b'SDSSJ122358.19+072701.7',False,-0.4090399,False,False,False,1.4098,14.8251,9.2916,26331.7676,6.590722088239468,True,False,0.4,10.0,
b'VFID5508',186.2288475,7.4447009,b'NGC4370',False,111.96287,False,True,False,4.7704,0.0162,2.6263,0.0243,0.5505408351500922,False,False,0.65,0.7,14.264231754314897
b'VFID5509',134.683122,7.4421472,b'SDSSJ085843.92+072631.8',False,0.5981747,False,False,False,4.274,0.08,19.7161,54664.1328,4.613032288254563,True,False,0.5,6.6,
b'VFID5510',262.0372335,7.4223771,b'UGC10862',False,0.0,False,False,False,0.0,0.0,0.0,0.0,,False,False,0.0,5.1,11.49251705180533
b'VFID5511',244.69578449999997,7.4094321,b'NGC6106',False,256.96982,False,False,True,7.6962,0.0247,8.3157,0.0401,1.0804942698994309,False,True,0.61,5.3,11.321682765269014
b'VFID5512',166.498233,7.3736347,b'SDSSJ110559.59+072225.0',False,1.7432073,False,False,False,2.5568,0.0365,3.2077,2.1211,1.2545760325406758,False,False,0.62,-5.0,
b'VFID5513',140.3632215,7.3640833,b'AGC193816',False,0.90676636,False,False,False,4.2486,0.254,0.1397,1.3378,0.032881419761803886,True,False,0.92,,
b'VFID5514',186.195765,7.3530155,b'NGC4366',False,4.659871,False,False,False,5.9686,0.1507,63.856,270.9834,10.698656301310189,False,False,0.62,-5.0,
b'VFID5515',190.687101,7.3387681,b'PGC042717',False,2.2760797,False,False,False,4.6352,0.0871,0.0131,5.954,0.0028261995167414566,True,False,0.71,7.5,
