Week of:,Week Number,World,Data,,,,,,,,Min,Max,Average,Data Points,Observed Variance,Prev 1W Average,Prev 2W Average,Prev 3W Average,Prev 4W Average,Prev 5W Average,Prev 6W Average,Prev 7W Average,Prev 8W Average,Prev 9W Average,Prev 10W Average
,3,380,,,,,,,,,,,,0,,7.333333333,23,,,,,,,,
,3,381 (500),16,,,,,,,,16,16,16,1,0,34,9,,,,,,,,
,3,382,18,23,,,,,,,18,23,20.5,2,5,10.66666667,14,,,,,,,,
,3,383,18,13,24,28,,,,,13,28,20.75,4,15,18,27,,,,,,,,
,3,384,22,25,,,,,,,22,25,23.5,2,3,,6.333333333,,,,,,,,
,3,393 (750),9,7,,,,,,,7,9,8,2,2,24,,,,,,,,,
,3,397,1,0,12,,,,,,0,12,4.333333333,2,12,20.6,9.6,,,,,,,,
,3,398,22,23,17,,,,,,17,23,20.66666667,3,6,35,23.5,,,,,,,,
,3,399,29,30,26,22,,,,,22,30,26.75,4,8,31.6,26,,,,,,,,
,3,413 (500),13,,,,,,,,13,13,13,1,0,16,,,,,,,,,
,3,414 (750),28,,,,,,,,28,28,28,1,0,18,4,,,,,,,,
,3,417,29,,,,,,,,29,29,29,1,0,17,13.66666667,,,,,,,,
,3,418,4,,,,,,,,4,4,4,1,0,28,22,,,,,,,,
,3,419 (500),,,,,,,,,,,,0,,34.75,,,,,,,,,
,3,427 (500),14,20,,,,,,,14,20,17,2,6,21,,,,,,,,,
,3,430,26,,,,,,,,26,26,26,1,0,9,,,,,,,,,
,3,431,19,20,29,21,,,,,19,29,22.25,4,10,22.5,5,,,,,,,,
,3,432 (750),,,,,,,,,,,,0,,35,,,,,,,,,
,3,433,,,,,,,,,,,,0,,13.4,17,,,,,,,,
,3,434,,,,,,,,,,,,0,,30,29.5,,,,,,,,
,3,435,33,35,,,,,,,33,35,34,2,2,15.5,11.5,,,,,,,,
,3,436,24,17,,,,,,,17,24,20.5,2,7,27.5,31,,,,,,,,
,3,437,36,,,,,,,,36,36,36,1,0,16.25,15.33333333,,,,,,,,
,3,451,,,,,,,,,,,,0,,32.14285714,8.4,,,,,,,,
,3,452,26,,,,,,,,26,26,26,1,0,,16,,,,,,,,
,3,453,30,34,,,,,,,30,34,32,2,4,31.33333333,18,,,,,,,,
,3,454,12,23,,,,,,,12,23,17.5,2,11,32,3.5,,,,,,,,
,3,455,30,25,,,,,,,25,30,27.5,2,5,,29.5,,,,,,,,
,3,456,25,,,,,,,,25,25,25,1,0,37,21,,,,,,,,
,3,468 (500),27,20,24,,,,,,20,27,23.66666667,3,7,9,14.5,,,,,,,,
,3,469,,,,,,,,,,,,0,,22,26.33333333,,,,,,,,
,3,475,,,,,,,,,,,,0,,22.33333333,25.5,,,,,,,,
,3,476,17,,,,,,,,17,17,17,1,0,20,29.75,,,,,,,,
,3,483,34,36,28,27,,,,,27,36,31.25,4,9,15.5,13.4,,,,,,,,
,3,497,20,17,,,,,,,17,20,18.5,2,3,22.5,23.5,,,,,,,,
